code_projet,num_commande,date_commande,num_fournisseur,description_commande,devise,montant_commande,montant_recept
null, 20230071, 2023-03-13 12:34:21, 2525, ORTINET FG101ETK18003374 UTP 2022-12-02 To 2025-12-01, MAD, 78625, 78625
null, 20230068, 2023-03-10 11:50:37, 3650, Publication jeune Afrique, EUR, 24116, 24116
HZ028, 20230058, 2023-02-27 16:42:00, 8864, Consultant agronome ZES/ Niger, MAD, 67500, 67500
null, 20230057, 2023-02-27 12:42:53, 9000, Restauration personnel / PETROFIB, MAD, 576000, 131112
null, 20230054, 2023-02-23 15:36:48, 5814, CONTRAT TMSA_CT_08B_18 / MISE A DISPOSITION EN LOCATION DES IMPRIMENTES POUR TMSA 2022, MAD, 110010, 74765
null, 20230053, 2023-02-23 15:06:28, 2076, Restauration des invités l'ocean, MAD, 20000, 13170
null, 20230050, 2023-02-22 17:33:03, 7958, Saisie Contrat / Mise à  disposition d'un ingénieur sénior;  pour les projets de SAS Import 2 EME ANNEE, MAD, 540000, 360000
null, 20230049, 2023-02-22 17:26:24, 2503, COMMANDE STANDARD 20210037 (MAZARS), MAD, 210000, 105600
null, 20230047, 2023-02-22 10:11:09, 594,  3 ANS D'ABONNEMENT AXONE   TANGER MED ENGINEERING, MAD, 29400, 19600
null, 20230045, 2023-02-13 11:43:17, 5813, TME_CT_ 01 _21/REALISATION DE LA  PRESTATION DE NETTOYAGE DES LOCAUX  DE TME 2023, MAD, 253662, 232523
